id;user_id;encrypted_userid;point_of_time;status
1;Tuna Proactive;dynamic Borders;2022-11-06T23:01:06;Fail
2;engineer architecture;green regional;2022-11-06T09:02:57;Successs
3;navigate Group Rubber;Consultant 辽宁省 Car;2022-11-06T19:17:03;Fail
4;morph payment Public-key;Albania Versatile;2022-11-06T17:55:31;Successs
5;contingency port;FTP 旁 Soft;2022-11-06T18:08:57;Successs
6;Buckinghamshire Intelligent;Chips Borders Developer;2022-11-07T02:16:01;Fail
7;Buckinghamshire incremental Music;deposit quantifying;2022-11-07T02:08:03;Successs
8;Kip;program Credit bypass;2022-11-06T10:25:49;Fail
9;Account Wooden generate;新疆;2022-11-06T14:43:50;Fail
10;街 Steel;Supervisor human-resource;2022-11-06T12:01:39;Fail
